branch_id,branch_name,city,state,manager_name
B001,Kolkata Finance Branch 1,Kolkata,West Bengal,Biju Goyal
B002,Mumbai Finance Branch 2,Mumbai,Maharashtra,Keya Sabharwal
B003,Kochi Finance Branch 3,Kochi,Kerala,Nishith Rao
B004,Mumbai Finance Branch 4,Mumbai,Maharashtra,Arnav Thaker
B005,Lucknow Finance Branch 5,Lucknow,Uttar Pradesh,Jhanvi Borah
B006,Kolkata Finance Branch 6,Kolkata,West Bengal,Saira Chakrabarti
B007,Hyderabad Finance Branch 7,Hyderabad,Telangana,Kaira Kumar
B008,Kolkata Finance Branch 8,Kolkata,West Bengal,Shayak Lall
B009,Delhi Finance Branch 9,Delhi,Delhi,Lagan Butala
B010,Pune Finance Branch 10,Pune,Maharashtra,Zara Borde
B011,Kolkata Finance Branch 11,Kolkata,West Bengal,Anya Gokhale
B012,Chandigarh Finance Branch 12,Chandigarh,Punjab,Advik Kohli
B013,Jaipur Finance Branch 13,Jaipur,Rajasthan,Piya Dutta
B014,Mumbai Finance Branch 14,Mumbai,Maharashtra,Shalv Kara
B015,Chandigarh Finance Branch 15,Chandigarh,Punjab,Dharmajan Bedi
B016,Lucknow Finance Branch 16,Lucknow,Uttar Pradesh,Indranil Buch
B017,Delhi Finance Branch 17,Delhi,Delhi,Hiran Ramesh
B018,Pune Finance Branch 18,Pune,Maharashtra,Hazel Sunder
B019,Lucknow Finance Branch 19,Lucknow,Uttar Pradesh,Azad Randhawa
B020,Hyderabad Finance Branch 20,Hyderabad,Telangana,Bhamini Sharaf
B021,Mumbai Finance Branch 21,Mumbai,Maharashtra,Mehul Bajaj
B022,Pune Finance Branch 22,Pune,Maharashtra,Vidur Dani
B023,Mumbai Finance Branch 23,Mumbai,Maharashtra,Drishya Sundaram
B024,Chandigarh Finance Branch 24,Chandigarh,Punjab,Kavya Mallick
B025,Chandigarh Finance Branch 25,Chandigarh,Punjab,Miraya Mallick
B026,Kochi Finance Branch 26,Kochi,Kerala,Nayantara Tella
B027,Hyderabad Finance Branch 27,Hyderabad,Telangana,Diya Master
B028,Kochi Finance Branch 28,Kochi,Kerala,Taimur Krishnamurthy
B029,Jaipur Finance Branch 29,Jaipur,Rajasthan,Vihaan Deol
B030,Patna Finance Branch 30,Patna,Bihar,Alia Krishnan
B031,Kochi Finance Branch 31,Kochi,Kerala,Kabir Bandi
B032,Patna Finance Branch 32,Patna,Bihar,Suhana Mall
B033,Chandigarh Finance Branch 33,Chandigarh,Punjab,Hansh Khosla
B034,Chandigarh Finance Branch 34,Chandigarh,Punjab,Tanya Bir
B035,Delhi Finance Branch 35,Delhi,Delhi,Oorja Raman
B036,Kochi Finance Branch 36,Kochi,Kerala,Ivan Bhandari
B037,Hyderabad Finance Branch 37,Hyderabad,Telangana,Aarna Kannan
B038,Kolkata Finance Branch 38,Kolkata,West Bengal,Kiara Anand
B039,Lucknow Finance Branch 39,Lucknow,Uttar Pradesh,Anahi Bali
B040,Kochi Finance Branch 40,Kochi,Kerala,Purab Choudhary
B041,Kolkata Finance Branch 41,Kolkata,West Bengal,Miraan Lall
B042,Patna Finance Branch 42,Patna,Bihar,Purab Hora
B043,Hyderabad Finance Branch 43,Hyderabad,Telangana,Amani Bhatia
B044,Lucknow Finance Branch 44,Lucknow,Uttar Pradesh,Vivaan Sama
B045,Lucknow Finance Branch 45,Lucknow,Uttar Pradesh,Ehsaan Mander
B046,Kochi Finance Branch 46,Kochi,Kerala,Armaan Vora
B047,Lucknow Finance Branch 47,Lucknow,Uttar Pradesh,Manjari Suri
B048,Kolkata Finance Branch 48,Kolkata,West Bengal,Dharmajan Ahluwalia
B049,Mumbai Finance Branch 49,Mumbai,Maharashtra,Eshani Date
B050,Patna Finance Branch 50,Patna,Bihar,Devansh Lall
B051,Jaipur Finance Branch 51,Jaipur,Rajasthan,Jivika Mandal
B052,Delhi Finance Branch 52,Delhi,Delhi,Aarna Soman
B053,Lucknow Finance Branch 53,Lucknow,Uttar Pradesh,Shanaya Sahni
B054,Patna Finance Branch 54,Patna,Bihar,Divyansh Singhal
B055,Patna Finance Branch 55,Patna,Bihar,Nitya Sekhon
B056,Chandigarh Finance Branch 56,Chandigarh,Punjab,Urvi Khosla
B057,Patna Finance Branch 57,Patna,Bihar,Aayush Datta
B058,Hyderabad Finance Branch 58,Hyderabad,Telangana,Kavya Kanda
B059,Chandigarh Finance Branch 59,Chandigarh,Punjab,Dhruv Sangha
B060,Jaipur Finance Branch 60,Jaipur,Rajasthan,Vivaan Bawa
B061,Pune Finance Branch 61,Pune,Maharashtra,Khushi Shukla
B062,Patna Finance Branch 62,Patna,Bihar,Dhanush Arora
B063,Kochi Finance Branch 63,Kochi,Kerala,Ranbir Sundaram
B064,Lucknow Finance Branch 64,Lucknow,Uttar Pradesh,Divit Raju
B065,Jaipur Finance Branch 65,Jaipur,Rajasthan,Shayak Chhabra
B066,Jaipur Finance Branch 66,Jaipur,Rajasthan,Samaira Bhardwaj
B067,Pune Finance Branch 67,Pune,Maharashtra,Yakshit Tella
B068,Mumbai Finance Branch 68,Mumbai,Maharashtra,Inaaya  Bava
B069,Mumbai Finance Branch 69,Mumbai,Maharashtra,Miraan Hegde
B070,Jaipur Finance Branch 70,Jaipur,Rajasthan,Indranil Kumar
B071,Kolkata Finance Branch 71,Kolkata,West Bengal,Tejas Dixit
B072,Lucknow Finance Branch 72,Lucknow,Uttar Pradesh,Hrishita Kar
B073,Hyderabad Finance Branch 73,Hyderabad,Telangana,Myra Agrawal
B074,Pune Finance Branch 74,Pune,Maharashtra,Drishya Dixit
B075,Pune Finance Branch 75,Pune,Maharashtra,Hridaan Sankar
B076,Hyderabad Finance Branch 76,Hyderabad,Telangana,Himmat Chaudhry
B077,Kochi Finance Branch 77,Kochi,Kerala,Samaira Venkatesh
B078,Delhi Finance Branch 78,Delhi,Delhi,Vaibhav Venkatesh
B079,Mumbai Finance Branch 79,Mumbai,Maharashtra,Raghav Sathe
B080,Pune Finance Branch 80,Pune,Maharashtra,Nayantara Biswas
B081,Hyderabad Finance Branch 81,Hyderabad,Telangana,Nirvi Gupta
B082,Mumbai Finance Branch 82,Mumbai,Maharashtra,Hunar Gulati
B083,Kolkata Finance Branch 83,Kolkata,West Bengal,Adira Dave
B084,Jaipur Finance Branch 84,Jaipur,Rajasthan,Alia Dua
B085,Chandigarh Finance Branch 85,Chandigarh,Punjab,Krish Bhatnagar
B086,Jaipur Finance Branch 86,Jaipur,Rajasthan,Nitya Sehgal
B087,Chandigarh Finance Branch 87,Chandigarh,Punjab,Miraan Badal
B088,Pune Finance Branch 88,Pune,Maharashtra,Advik Karan
B089,Lucknow Finance Branch 89,Lucknow,Uttar Pradesh,Jayesh Sule
B090,Hyderabad Finance Branch 90,Hyderabad,Telangana,Jivika Vasa
B091,Lucknow Finance Branch 91,Lucknow,Uttar Pradesh,Ehsaan Edwin
B092,Hyderabad Finance Branch 92,Hyderabad,Telangana,Yakshit Singh
B093,Kolkata Finance Branch 93,Kolkata,West Bengal,Ranbir Dara
B094,Kochi Finance Branch 94,Kochi,Kerala,Baiju Taneja
B095,Patna Finance Branch 95,Patna,Bihar,Dharmajan Gupta
B096,Kochi Finance Branch 96,Kochi,Kerala,Hazel Saran
B097,Pune Finance Branch 97,Pune,Maharashtra,Pihu Mall
B098,Hyderabad Finance Branch 98,Hyderabad,Telangana,Damini Seth
B099,Delhi Finance Branch 99,Delhi,Delhi,Aaryahi Golla
B100,Delhi Finance Branch 100,Delhi,Delhi,Divyansh Arora
